country,iso3,region,analyzed_in_report,chosen_eight,is_focal_subject,document_type,document_maturity,primary_document_title,primary_document_url,source_notes,gdp_per_capita_usd,population_millions,hdi,gini,ai_readiness_index,renewable_electricity_share,jobs_workforce_training_quantified,jobs_specialist_pipeline,jobs_union_or_social_dialogue,jobs_distributional_monitoring,jobs_productivity_target_quantified,jobs_composite,dem_civic_participation,dem_multi_watchdog_oversight,dem_civil_society_in_ethics_body,dem_transparency_register,dem_election_or_disinfo_instruments,democracy_composite,coh_structural_cohesion_pillar,coh_algorithmic_fairness_toolkit,coh_linguistic_substrate,coh_territorial_distribution,coh_digital_inclusion_cohorts,cohesion_composite,eth_sovereign_llm,eth_open_source_commitment,eth_ai_act_or_equivalent,eth_ethics_body_operational,eth_human_development_alignment,ethics_hd_composite
Portugal,PRT,Europe,true,true,true,AI Strategy,cabinet-approved,"Agenda Nacional para a Inteligência Artificial (ANIA), January 2026",https://diariodarepublica.pt/dr/detalhe/resolucao-conselho-ministros/2-2026-1000882016,Focal subject of the v2 report. ANIA is Action #20 of the broader EDN; ARTE (Decree-Law 96/2025) is the operational lead.,26000,10.3,0.874,33.0,63,60.0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,2
Argentina,ARG,Americas,true,false,false,Digital Strategy,not-AI-specific,"Argentina Digital Agenda (Anexo 5628461), 2018",https://www.boletinoficial.gob.ar/detalleAviso/primera/195154/20181105,2018 Digital Agenda is broader-than-AI and now stale; no AI-specific strategy.,13000,46.0,0.842,42.0,50,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Australia,AUS,APAC,true,true,false,AI Strategy,operational,"National AI Plan and APS AI Plan, November 2025",https://www.industry.gov.au/sites/default/files/2025-12/national-ai-plan.pdf,3-document stack: BCA Accelerating (Jun 2025) and DISR National AI Plan and Finance/DTA/APSC APS AI Plan. Paired with New Zealand in the v2 report's chosen-eight convention.,65000,26.5,0.946,34.0,75,32.0,2,1,2,1,2,3,1,2,1,1,1,2,1,1,0,1,2,2,0,1,1,2,2,2
Brazil,BRA,Americas,true,true,false,AI Strategy,operational,"Plano Brasileiro de IA (PBIA), IA para o Bem de Todos, 2024-2028",https://www.gov.br/mcti/pt-br/centrais-de-conteudo/publicacoes-mcti/plano-brasileiro-de-inteligencia-artificial/pbia_mcti_2025.pdf,117-institution participatory governance for design. Bill 2338/23 still pending in Congress.,10000,215.0,0.76,52.0,62,89.2,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,1,2,3,1,1,1,1,2,2
China,CHN,APAC,true,false,false,AI Strategy,operational,"State Council Opinion on AI+ Action, August 2025",https://www.gov.cn/zhengce/content/202508/content_7037861.htm,Primary anchor is the State Council AI+ Opinion (Aug 2025). Generative AI Interim Measures (2023) plus algorithmic recommendation regulation plus October 2025 Cybersecurity Law amendment are binding background statutes referenced in eth_ai_act_or_equivalent scoring.,12500,1410.0,0.788,38.0,70,30.0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,1,2,1,2,1,1,2
Egypt,EGY,Africa,true,true,false,AI Strategy,operational,"Egypt National AI Strategy, Second Edition, 2025-2030",https://ai.gov.eg/SynchedFiles/en/Resources/AIstrategy%20English%2016-1-2025-1.pdf,NCAI is single central authority under MCIT. The 26% marginal-workforce KPI is the only quantified marginal-population commitment in the corpus.,3500,109.0,0.731,31.0,58,12.0,2,2,0,1,1,2,0,0,0,1,0,0,1,0,2,0,2,2,1,0,1,1,2,2
Finland,FIN,Europe,true,true,false,AI Strategy,operational,"AI 4.0 Programme (TEM), 2022",https://julkaisut.valtioneuvosto.fi/handle/10024/164394,Twin-transition plus carbon-handprint framing originator. EU AI Act anchored.,50000,5.6,0.94,28.0,76,83.0,1,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,1
France,FRA,Europe,true,true,false,AI Strategy,cabinet-approved,"Stratégie nationale 2024 / Rapport Aghion-Bouverot, March 2024",https://www.info.gouv.fr/upload/media/content/0001/09/4d3cc456dd2f5b9d79ee75feea63b47f10d75158.pdf,Independent commission credibility through Aghion-Bouverot. Humanism pillar first; AI Action Summit host February 2025.,41000,68.0,0.91,31.0,78,26.0,1,1,2,1,2,2,2,1,1,1,1,2,2,0,1,1,1,2,2,1,2,1,2,3
Germany,DEU,Europe,true,false,false,Hybrid,operational,AI Strategy 2020 Update and BMBF Aktionsplan 2023,https://www.ki-strategie-deutschland.de/files/downloads/201201_Fortschreibung_KI-Strategie.pdf,Two-document stack: federal AI Strategy (2020 update) plus BMBF Aktionsplan (2023). Mitbestimmung plus AI Observatory for Work and Society for worker voice.,52000,84.0,0.95,32.0,74,50.0,1,1,2,1,1,2,2,1,2,1,0,2,1,0,1,1,1,1,1,1,2,2,1,2
India,IND,APAC,true,true,false,AI Strategy,cabinet-approved,"IndiaAI Mission, Cabinet approval 7 March 2024",https://www.psa.gov.in/ai-mission-initiatives,Cabinet-approved with no parliamentary statute (structural fragility). India AI Governance Guidelines (MeitY 2025) with seven Sutras. Largest cohesion ambition in the corpus.,2500,1420.0,0.644,35.0,70,22.0,2,2,0,2,1,2,1,1,1,1,1,2,2,1,2,1,2,3,2,1,1,1,2,2
